"value","European Union & Foreign Affairs","Parliamentary Procedures","Environment & Energy","Health & Healthcare","Welfare & Social Housing","Education & Learning","Economy & Financial Services","Standards & Technology","Crime & Justice","Defence & Armed Forces","Immigration & Borders"
"Alan Duncan",0.258555133079848,0.171779141104294,0.463917525773196,0.464788732394366,0.236686390532544,0.384615384615385,0.486238532110092,0.661016949152542,0.706349206349206,0.557692307692308,0.561643835616438
"Michael Fallon",0.300380228136882,0.269938650306748,0.412371134020619,0.408450704225352,0.331360946745562,0.435897435897436,0.614678899082569,0.694915254237288,0.80952380952381,0.557692307692308,0.547945205479452
"Dominic Grieve",0.346007604562738,0.147239263803681,0.484536082474227,0.549295774647887,0.183431952662722,0.538461538461538,0.357798165137615,0.525423728813559,0.634920634920635,0.548076923076923,0.552511415525114
"Mark Field",0.288973384030418,0.208588957055215,0.422680412371134,0.647887323943662,0.266272189349112,0.538461538461538,0.587155963302752,0.661016949152542,0.817460317460317,0.605769230769231,0.552511415525114
"Andrew Griffiths",0.311787072243346,0.116564417177914,0.34020618556701,0.23943661971831,0.159763313609467,0.205128205128205,0.532110091743119,0.779661016949153,0.896825396825397,0.576923076923077,0.547945205479452
"Justine Greening",0.35361216730038,0.220858895705521,0.54639175257732,0.52112676056338,0.236686390532544,0.461538461538462,0.357798165137615,0.610169491525424,0.706349206349206,0.586538461538462,0.520547945205479
"David T. C. Davies",0.26615969581749,0.47239263803681,0.515463917525773,0.450704225352113,0.378698224852071,0.358974358974359,0.73394495412844,0.694915254237288,0.523809523809524,0.528846153846154,0.502283105022831
"Bill Grant",0.346007604562738,0.47239263803681,0.505154639175258,0.450704225352113,0.473372781065089,0.512820512820513,0.688073394495413,0.644067796610169,0.46031746031746,0.557692307692308,0.506849315068493
"Richard Benyon",0.319391634980989,0.159509202453988,0.45360824742268,0.450704225352113,0.266272189349112,0.487179487179487,0.275229357798165,0.694915254237288,0.571428571428571,0.586538461538462,0.515981735159817
"Luke Graham",0.349809885931559,0.478527607361963,0.505154639175258,0.450704225352113,0.473372781065089,0.512820512820513,0.688073394495413,0.644067796610169,0.46031746031746,0.557692307692308,0.506849315068493
