about,title,date_value,search_url,
104488,"Welfare Reform Bill, That this House disagrees with Lords amendment 2",10/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-10&endDate=2009-11-10&searchTerm=Welfare Re&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Welfare Reform Bill 2009-11-10.txt
104483,"Coroners and Justice Bill (Programme) (No.4), Motion made, and Question put forthwith (Standing Order No. 83A)",09/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-09&endDate=2009-11-09&searchTerm=Coroners a&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104484,"Coroners and Justice Bill Amendment (a) proposed in lieu of Lords Amendments 1,2 and 216",09/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-09&endDate=2009-11-09&searchTerm=Coroners a&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Coroners and Justice Bill 2009-11-09.txt
104485,"Coroners and Justice Bill, That this House disagrees with Lords amendment 55",09/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-09&endDate=2009-11-09&searchTerm=Coroners a&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Coroners and Justice Bill 2009-11-09.txt
104486,"Coroners and Justice Bill, That this House disagrees with Lords amendment 59",09/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-09&endDate=2009-11-09&searchTerm=Coroners a&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Coroners and Justice Bill 2009-11-09.txt
104487,"Coroners and Justice Bill, That this House disagrees with Lords amendment 66",09/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-09&endDate=2009-11-09&searchTerm=Coroners a&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Coroners and Justice Bill 2009-11-09.txt
104481,"Constitutional Reform and Governance Bill, Question put, That the new clause 22 be read a Second time, sitting in committee",04/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-04&endDate=2009-11-04&searchTerm=Constituti&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Constitutional Reform and Governance Bill 2009-11-04.txt
104482,"Constitutional Reform and Governance Bill, Question put, That the amendment be made, sitting committee",04/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-04&endDate=2009-11-04&searchTerm=Constituti&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Constitutional Reform and Governance Bill 2009-11-04.txt
104477,"Constitutional Reform and Governance Bill (Programme) (No. 2), Three quarters of an hour having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No. 83A)",03/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-03&endDate=2009-11-03&searchTerm=Constituti&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Constitutional Reform and Governance Bill (Programme) (No. 2) 2009-11-03.txt
104478,"Constitutional Reform and Governance Bill, Question put, That the amendment be made, sitting in committee",03/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-03&endDate=2009-11-03&searchTerm=Constituti&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Constitutional Reform and Governance Bill 2009-11-03.txt
104479,"Constitutional Reform and Governance Bill, Question put, That the amendment 48 be made, sitting in committee",03/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-03&endDate=2009-11-03&searchTerm=Constituti&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Constitutional Reform and Governance Bill 2009-11-03.txt
104480,"Constitutional Reform and Governance Bill, Question put, That the clause be added to the Bill, sitting in committee",03/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-03&endDate=2009-11-03&searchTerm=Constituti&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Constitutional Reform and Governance Bill 2009-11-03.txt
104475,"Local Spending Reports, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",28/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-28&endDate=2009-10-28&searchTerm=Local Spen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Local Spending Reports 2009-10-28.txt
104476,"Future of the Territorial Army, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",28/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-28&endDate=2009-10-28&searchTerm=Future of &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Future of the Territorial Army 2009-10-28.txt
104474,"Marine and Coastal Access Bill (Lords), Question put, That the amendment be made",27/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-27&endDate=2009-10-27&searchTerm=Marine and&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Marine and Coastal Access Bill [Lords] 2009-10-27.txt
104473,"Marine and Coastal Access Bill (Lords), Mr. Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the amendment be made",26/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-26&endDate=2009-10-26&searchTerm=Marine and&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104471,"Equitable Life, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",21/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-21&endDate=2009-10-21&searchTerm=Equitable &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Equitable Life 2009-10-21.txt
104472,"Climate Change (Political Response), Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",21/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-21&endDate=2009-10-21&searchTerm=Climate Ch&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Climate Change (Political Response) 2009-10-21.txt
104470,"Constitutional Reform and Governance Bill (Carry-Over), Motion made, and Question put forthwith (Standing Order No. 80A)",20/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-20&endDate=2009-10-20&searchTerm=Constituti&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Constitutional Reform and Governance Bill (Carry-Over) 2009-10-20.txt
104468,"Economic Recovery and Welfare, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",19/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-19&endDate=2009-10-19&searchTerm=Economic R&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Recovery and Welfare 2009-10-19.txt
104469,"Economic Recovery and Welfare, Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added",19/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-19&endDate=2009-10-19&searchTerm=Economic R&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Recovery and Welfare 2009-10-19.txt
104463,"Damages (Asbestos-Related Conditions) Bill, Question put, That the amendment be made",16/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-16&endDate=2009-10-16&searchTerm=Damages (A&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Damages (Asbestos-Related Conditions) Bill 2009-10-16.txt
